job_id,title,company,region,posted_date,skills_required,experience_required,salary_estimate
JOB-0001,DevOps Engineer,Oracle,Global,2025-04-17,terraform|docker|linux|python|aws|kubernetes|git,2,162727
JOB-0002,Cloud Architect,Amazon,India,2025-09-15,gcp|linux|kubernetes|aws|docker|azure,3,1996025
JOB-0003,Cybersecurity Analyst,Uber,US,2025-06-19,cybersecurity|networking|linux|ethical hacking|sql|python,5,199981
JOB-0004,ML Engineer,Razorpay,US,2025-11-16,tensorflow|machine learning|docker,10,80627
JOB-0005,Product Manager,Salesforce,India,2025-12-12,agile|excel|data analysis,3,3269995
JOB-0006,QA Engineer,Amazon,Global,2026-02-24,python|sql|agile|git,3,128953
JOB-0007,Data Engineer,Salesforce,Europe,2025-06-11,aws|apache spark|sql|python,2,139812
JOB-0008,Data Scientist,PhonePe,Asia Pacific,2026-02-14,machine learning|sql|data visualization,0,101228
JOB-0009,DevOps Engineer,HCL,Europe,2025-05-16,kubernetes|linux|ci/cd|git|terraform,2,53561
JOB-0010,Data Analyst,Infosys,Asia Pacific,2025-09-25,power bi|pandas|python|excel,2,110592
JOB-0011,QA Engineer,Zomato,Asia Pacific,2025-01-05,javascript|postman|git|python,1,63419
JOB-0012,QA Engineer,Infosys,US,2025-04-06,javascript|python|postman|sql|git|agile,5,137214
JOB-0013,Frontend Developer,Swiggy,India,2025-07-06,html|next.js|typescript|javascript|git,7,709556
JOB-0014,Cybersecurity Analyst,Razorpay,India,2025-10-13,ethical hacking|python|cybersecurity|sql,1,3084413
JOB-0015,Data Analyst,Oracle,India,2025-09-16,power bi|python|statistics|data analysis|tableau|sql|excel|pandas,1,3611243
JOB-0016,Mobile Developer,HCL,US,2025-11-14,javascript|firebase|kotlin,10,155616
JOB-0017,Mobile Developer,Uber,Global,2025-08-08,rest api|flutter|swift|react native|firebase|kotlin|javascript|git,3,137092
JOB-0018,Full Stack Developer,Meta,India,2025-07-03,docker|node.js|git|react|sql,7,3256138
JOB-0019,Software Engineer,HCL,India,2025-11-22,python|java|git|linux|agile|rest api|sql,7,2207618
JOB-0020,Frontend Developer,Infosys,India,2026-02-21,tailwind css|react|typescript|next.js,7,2456926
JOB-0021,ML Engineer,Infosys,Europe,2025-12-12,aws|deep learning|pytorch,10,70932
